matched_brand,matched_brand_key,matched_company_candidate,top9_group,ownership_resolution_status,needs_manual_review_from_matrix,product_name,barcode,current_normalized_brand,current_brand_entity_raw,current_brand_entity_source,current_resolved_company,query_category,primary_country,observed_market_region_codes,image_url,off_brands_raw,match_rule,review_decision_blank,review_note_blank
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet mixer,70491234000,master of mixes,master of mixes,first_off_brand_token_fallback,Other / not mapped to a company,beverages,United States,US_CANADA,,Master of Mixes,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet oatmeal,858117003120,straw propeller gourmet foods,straw propeller gourmet foods,first_off_brand_token_fallback,Other / not mapped to a company,cereals,United States,US_CANADA,,Straw Propeller Gourmet Foods,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet oatmeal raisin cookies,859987061388,signature,signature,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,Signature,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet old fashioned popcorn,691355893388,hammonds,hammonds,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,"Hammond's, Hammond's Gourmet",product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,"Gourmet orange cranberry muffins, orange cranberry",40697700210,cafe valley bakery,cafe valley bakery,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,Cafe Valley Bakery,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet organic dark chocolate,787420482974,sjaaks organic chocolates,sjaaks organic chocolates,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,Sjaak's Organic Chocolates,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet original kettlecorn popcorn,856856001537,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,"Gourmet pairings spreadable cheese, roasted red pepper",77901005205,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,dairies,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet party mix gummies,844911004821,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet pasteurized juice,725341581147,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,beverages,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,"Gourmet pasteurized juice, cucumber jalapeno",725341581130,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,beverages,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet pasteurized white tea,725341601142,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,beverages,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet pastry,808330910736,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet patrioats oatmeal,858117003403,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,cereals,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet peppermint bark on a chocolate cookie,49022979260,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet peppermint bark on a chocolate cookie,654954226735,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,https://images.openfoodfacts.org/images/products/065/495/422/6735/front_ru.3.400.jpg,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet piemonte tomini with italian truffles,780961700262,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,dairies,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet pink lemonade,856005003467,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,beverages,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet popcorn,639713992335,chads carolina corn,chads carolina corn,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,Chad's Carolina Corn,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet popcorn,748948122179,buddy squirrel llc,buddy squirrel llc,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,Buddy Squirrel Llc,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet popcorn,780994799820,harry and david,harry and david,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,"Harry & David, Harry And David",product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet popcorn,780994805408,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet popcorn,780994812468,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet popcorn,780994812505,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet popcorn,780994812512,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet popcorn,780994812536,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet popcorn,780994814288,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet popcorn,780994815612,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet popcorn,780994815735,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet popcorn,858563004061,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet popcorn,858563004115,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet popcorn,899795002050,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet popcorn crazy mix,899795002036,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet popcorn milk chocolate,780994810907,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet popcorn snack,754918082015,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
