merge_action,normalized_brand,parent_company,ownership_resolution_status,category_scope,region_codes_include,review_product_count,review_decision,candidate_action
appended_new,lidl,Lidl,direct,dairies,NORDICS|UK_IE|SOUTHERN_EUROPE,1,map to Lidl,append_candidate
appended_new,lidl,Lidl,direct,dairies,NORDICS|FRANCE|DACH,1,map to Lidl,append_candidate
appended_new,lidl flavita,Lidl,direct,beverages,UK_IE,1,map to Lidl,append_candidate
appended_new,lidl envia,Lidl,direct,dairies,FRANCE,1,map to Lidl,append_candidate
appended_new,lidl emb 26368a,Lidl,direct,beverages,FRANCE,1,map to Lidl,append_candidate
appended_new,lidl deluxe,Lidl,direct,cereals,UK_IE,1,map to Lidl,append_candidate
appended_new,lidl captain soif fraise,Lidl,direct,beverages,FRANCE,1,map to Lidl,append_candidate
appended_new,lidl alpen feet,Lidl,direct,snacks,FRANCE,1,map to Lidl,append_candidate
appended_new,lidl,Lidl,direct,snacks,UK_IE|US_CANADA,1,map to Lidl,append_candidate
appended_new,lidl,Lidl,direct,snacks,NORDICS|FRANCE|DACH,1,map to Lidl,append_candidate
appended_new,lidl,Lidl,direct,snacks,NORDICS|FRANCE,1,map to Lidl,append_candidate
appended_new,lidl,Lidl,direct,snacks,FRANCE|SOUTHERN_EUROPE|DACH,1,map to Lidl,append_candidate
appended_new,lidl,Lidl,direct,snacks,FRANCE|DACH|UK_IE,1,map to Lidl,append_candidate
appended_new,Nescafé Dolce Gusto,Nestlé,direct,snacks,FRANCE,1,map to Nestlé,append_candidate
appended_new,Nescafé Dolce Gusto,Nestlé,direct,dairies,FRANCE|UK_IE,1,map to Nestlé,append_candidate
appended_new,Nescafé Dolce Gusto,Nestlé,direct,dairies,FRANCE|SOUTHERN_EUROPE|DACH,1,map to Nestlé,append_candidate
appended_new,Nescafé Dolce Gusto,Nestlé,direct,dairies,FRANCE|DACH,1,map to Nestlé,append_candidate
appended_new,Nescafé Dolce Gusto,Nestlé,direct,dairies,FRANCE,1,map to Nestlé,append_candidate
appended_new,lidl saveur de nos region,Lidl,direct,dairies,FRANCE,1,map to Lidl,append_candidate
appended_new,lidl rivercote,Lidl,direct,snacks,UK_IE,1,map to Lidl,append_candidate
appended_new,lidl preferred selection,Lidl,direct,snacks,US_CANADA,1,map to Lidl,append_candidate
appended_new,lidl preferred selection,Lidl,direct,snacks,FRANCE,1,map to Lidl,append_candidate
appended_new,lidl organic,Lidl,direct,snacks,US_CANADA,1,map to Lidl,append_candidate
appended_new,lidl organic,Lidl,direct,snacks,BENELUX|FRANCE|DACH|SOUTHERN_EUROPE,1,map to Lidl,append_candidate
appended_new,lidl naturista,Lidl,direct,beverages,UK_IE,1,map to Lidl,append_candidate
appended_new,lidl milbona,Lidl,direct,dairies,FRANCE,1,map to Lidl,append_candidate
appended_new,lidl lord nelson,Lidl,direct,beverages,FRANCE|DACH,1,map to Lidl,append_candidate
