brand_entity_raw,normalized_brand,brand_alias_source,brand_alias_review_status,brand_entity_source,primary_country,observed_market_region_codes,query_category,product_count,example_product_names,example_off_brands_raw
buxton,Buxton,top9_portfolio_brand_alias,confirmed,existing_company_brand_mapping_token_match,United Kingdom,UK_IE,beverages,5,Natural mineral water | Still water | Natural Mineral Water | Sparkling Water | Still Mineral Water,Buxton | Buxton | Buxton | Buxton | Buxton
m&s,M&S,curated_mechanical_brand_alias,confirmed,existing_company_brand_mapping_token_match,France,FRANCE,dairies,5,Kefir cherry milk drink | Biryani Seasoning | Greek style live yogourt | Cheddar cornish cove extra mature | Extra mature cheddar,"M&S | M&S, Marks & Spencer | M&S | Marks & Spencer, Marks And Spencer, M&S | M&S"
quaker,Quaker,curated_mechanical_brand_alias,confirmed,existing_company_brand_mapping_token_match,France,FRANCE|US_CANADA,snacks,5,"SWEET BARBECUE RICE CRISPS | Strawberry soft baked bars squares with fruit filling, strawberry | Blueberry nut baked flats crispy snack bars | Chewy Chocolate Chip Granola Bars | Digestive biscuit",Quaker | Quaker | Quaker | Quaker | Quaker
light and free,Light & Free,curated_mechanical_brand_alias,confirmed,existing_company_brand_mapping_token_match,United Kingdom,UK_IE,dairies,5,Greek Style Yogurt | Coconut Yoghurt 4X115G | Light & Free Greek Style Yogurt | Greek Style Yogurt | Light and free,"Light & Free | Danone,Light & Free | Light & Free,Danone | Light & Free | Light & Free"
drumstick,Drumstick,top9_portfolio_brand_alias,confirmed,existing_company_brand_mapping_token_match,United Kingdom,UK_IE,snacks,5,"Raspberry And Milk Flavour Chewy Sweets (UK), (IRL | Squashies - Rhubarb and Custard | Swizzees marvelous mallows | Squashies Rhubarb & Custard | Drumstick Chocolate","Swizzels,Drumstick | Swizzels,Drumstick,Squashies | Drumstick | Squashies,Drumstick,Swizzels | Swizzels,Drumstick"
quaker,Quaker,curated_mechanical_brand_alias,confirmed,existing_company_brand_mapping_token_match,Canada,US_CANADA|FRANCE,cereals,5,"One Minute Oats | Life | Life whole grain cereal cinnamon | Harvest Crunch Granola Cereal Original | Croque Nature chocolat noir, canneberges et amendes","Quaker | Quaker | Quaker | Quaker | PepsiCo, Quaker"
kraft,Kraft,curated_mechanical_brand_alias,confirmed,existing_company_brand_mapping_token_match,Canada,US_CANADA|FRANCE,dairies,5,Nabisco easy cheese pasteurized cheese snack bacon 1x8.000 oz | Fromage Singles | Beurre d'arachide Tout Naturel | Cheez Whiz | Cheez whiz,Kraft | Kraft | Kraft | Kraft | Kraft
maxwell house,Maxwell House,curated_mechanical_brand_alias,confirmed,existing_company_brand_mapping_token_match,France,FRANCE,dairies,5,Capuccino | Cappuccino saveur Noisettes | Cappuccino saveur Biscuits Amandes,"Kraft Foods, Maxwell House | Maxwell House | Maxwell House | Maxwell House | maxwell house"
pg tips,PG Tips,top9_portfolio_brand_alias,confirmed,existing_company_brand_mapping_token_match,United Kingdom,UK_IE,beverages,5,PG Tips Tea | PG Tips One Cup Pryamid Tea Bags | Original PG Tips 160 tea bags | PG Tips | PG Tips Decaf,PG Tips | PG Tips | PG Tips | PG Tips | PG Tips
hershey's,Hershey’s,curated_mechanical_brand_alias,confirmed,existing_company_brand_mapping_token_match,Canada,US_CANADA|FRANCE,snacks,5,Hershey's creamy milk chocolate | Chipits Pure Semi-Sweet Chocolate Chips | Hershey's Cookies 'N' Cream | Creamy Milk Chocolate Bar | Cookies 'N' Creme Bar,Hershey's | Hershey's | Hershey's | Hershey's | Hershey's
mcvitie's,McVitie's,curated_mechanical_brand_alias,confirmed,existing_company_brand_mapping_token_match,France,FRANCE|DACH,snacks,5,Sablés Anglais Chocolat au lait | Mc Vitie's Digestive | Thins milk chocolate | Mc Vities Digestives,"Mc Vitie's, McVitie's, United Biscuits | McVitie's, McVities | Mc Vities | McVitie's | McVitie's"
