normalized_brand,legacy_primary_brand,primary_brand,brand_entity_raw,brand_entity_source,brand_alias_source,brand_alias_review_status,query_category,primary_country,observed_market_region_codes,current_company,proposed_company,proposed_ownership_resolution_status,proposed_mapping_source,proposed_review_note,proposed_matched_mapping_brand,company_mapping_would_change,normalized_brand_is_top9_portfolio,product_count,example_product_names,example_off_brands_raw
lactalis american group inc,lactalis american group inc,lactalis american group inc,lactalis american group inc,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,dairies,United States,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,Premium Cheddar Cheese | Gourmet Spreadable Cheddar Cheese With Jalapenos | Gourmet Spreadable Cheese | Rondele Gourmet Spreadable Cheese,Lactalis American Group Inc. | Lactalis American Group Inc. | Lactalis American Group Inc. | Lactalis American Group Inc.
ladd industries,ladd industries,ladd industries,ladd industries,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,beverages,United States,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,White tea with lemon grass ginger | Green Tea | Herbal Tea | Tea,Ladd Industries | Ladd Industries | Ladd Industries | Ladd Industries
laderach,laderach,laderach,laderach,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,snacks,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,Madagascar | Carrés grand crû noir | Tablette chocolat au lait | Popcorn milk,Läderach | Läderach | Läderach | laderach
laiterie collet,laiterie collet,laiterie collet,laiterie collet,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,dairies,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,Yaourt Myrtille | Faisselle brebis bio | L'authenique crème au chocolat au lait entier | Crème dessert chocolat,"LAITERIE COLLET | LAITERIE COLLET | Laiterie Collet,Maison Collet | laiterie Collet"
laiterie des bas vignons,laiterie des bas vignons,laiterie des bas-vignons,laiterie des bas vignons,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,dairies,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,Lait Frais | Lait caillé fabrication traditionnelle | RAIB | Raibi saveur grenade,"Laiterie des Bas-Vignons | Laiterie des Bas Vignons, RAÏB | Laiterie des Bas-Vignons, Raïb | Laiterie des Bas-Vignons, Raïbi"
laiterie saint pere,laiterie saint pere,laiterie saint-pere,laiterie saint pere,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,dairies,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,Lait stérilisé UHT demi-écrémé | Le lait demi-écrémé | Le Lait Demi-écrémé | Crème Dessert Vanille,Laiterie Saint Père | Laiterie Saint-Père | Laiterie Saint-Père | Laiterie saint pere
lakanto,lakanto,lakanto,lakanto,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,snacks,United States,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,Chocolate Bar 55% Cacao Plain | Keto Brownie Mix | Chocolate covered almonds | Chocolate Keto Cake Mix,Lakanto | Lakanto | Lakanto | Lakanto
lammsbrau,lammsbrau,lammsbrau,lammsbrau,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,beverages,France,FRANCE|DACH,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,"Bière | Bio Radler Alkoholfrei | Now, Sunny Orange | Now Bio Pink Rhabarber Bio-Limo",Lammsbräu | Lammsbräu | Lammsbräu | Lammsbräu
landana,landana,landana,landana,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,dairies,United States,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,"Landana, goat cheese, mild | Landana, 1000 days aged gouda holland cheese | Delightfully Mediterranean Cheese | Landana, wild garlic cheese",Landana | Landana | Landana | Landana
lanquetot,lanquetot,lanquetot,lanquetot,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,dairies,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,"150G Brin-paille Lanquetot | Camembert, Moulé à la Louche au lait cru (22 % MG) | Camembert - date courte -30% | Petit livarot",Lanquetot | Lanquetot | Lanquetot | Lanquetot
laredo packing company,laredo packing company,laredo packing company,laredo packing company,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,snacks,United States,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,"Bader Enterprise Inc, Gummy Bears | America's Best, Butterscotch Candy | America's Best, Gummy Peach | Bader Enterprise, Fruit Slices Candy",Laredo Packing Company | Laredo Packing Company | Laredo Packing Company | Laredo Packing Company
lassonde,lassonde,lassonde,lassonde,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,beverages,United States,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,"Flavored Juice Drink | Fruit Punch | Tropical grove, mango flavored juice drink, mango | Peach flavored juice drink",Lassonde | Lassonde | Lassonde | Lassonde
latelier blini,latelier blini,latelier blini,latelier blini,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,dairies,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,Fromage frais échalotte et ciboulette | Feta battue | Fromage frais et saumon fumé sauvage | Chèvre crémeux et chutney de figues,L'Atelier Blini | L'atelier Blini | L'Atelier Blini | L'Atelier Blini
latelier de clotilde,latelier de clotilde,latelier de clotilde,latelier de clotilde,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,beverages,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,jus de pomme abricot | Sirop coquelicot | Jus de pomme canelle | Sirop de violette,l'atelier de Clotilde | L'atelier de Clotilde | L'Atelier de Clotilde | L’atelier de Clotilde
latelier de la pepie,latelier de la pepie,latelier de la pepie,latelier de la pepie,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,beverages,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,Jus de pomme Artisanal Pur jus | Cidre brut artisanal | Limo La Lutine - Limonade | Bissap fleur d'hibiscus,L'atelier de la pépie | L'atelier de la Pépie | L'Atelier de la Pépie | L'Atelier de la Pépie
latelier des lys,latelier des lys,latelier des lys,latelier des lys,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,snacks,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,"L'Atelier des Lys - Soft Nougat from Ducasses Almonds, Assorted Flavors, 150g (5.2oz) | Violettes | Gommes Eucalyptus mentholées | L'Atelier des Lys - Speculoos Cookies from Flanders, 175g (6.2oz)",L'Atelier des Lys | L'Atelier des Lys | L'Atelier des Lys | L'Atelier des Lys
latelier du sans gluten,latelier du sans gluten,latelier du sans gluten,latelier du sans gluten,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,snacks,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,Cookies chocolat noir oranges confites | Cookies chocolat noir & caramel au beurre salé | Cookies Chocolat au Lait & Noisettes | Cookies,L'Atelier du Sans Gluten | L’atelier du sans Gluten | L’atelier du Sans Gluten | L'atelier du Sans Gluten
latin brands corp,latin brands corp,latin brands corp,latin brands corp,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,beverages,United States,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,"Young Coconut Juice | Vitarroz, Young Coconut Juice | Vitarroz, Cooking Wine | Vitarroz, Coconut Milk",Latin Brands Corp. | Latin Brands Corp. | Latin Brands Corp. | Latin Brands Corp.
lattrape reves,lattrape reves,lattrape reves,lattrape reves,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,snacks,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,Chocolat au lait au caramel | Chocolat noir aux amandes entières | Chocolat noir Origine Equateur | Chocolat noir 80%,L'Attrape Rêves | L'Attrape Rêves | L'Attrape Rêves | L'Attrape Rêves
laughing giraffe organics llc,laughing giraffe organics llc,laughing giraffe organics llc,laughing giraffe organics llc,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,snacks,United States,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,"Snakaroons | Coffee Bean Snakaroons, Delicious Coconut Macaroons With Chocolate Espresso Beans! | Matcha Snakaroons, Organics Coconut Macaroons Cookies, Green Tea Zing | The Luaghing Giraffe, Salted Caramel Snakaroons",Laughing Giraffe Organics Llc | Laughing Giraffe Organics Llc | Laughing Giraffe Organics Llc | Laughing Giraffe Organics Llc
laurent perrier,laurent perrier,laurent perrier,laurent perrier,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,beverages,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,Champagne | champagne ultra brut Laurent Perrier | Champagne brut | Champagne,Laurent Perrier | Laurent Perrier | Laurent-Perrier | laurent perrier
lavazza,lavazza,lavazza,lavazza,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,beverages,United Kingdom,UK_IE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,Café en dosettes souples. | Lavazza Qualita Rossa | Espresso Delizioso | Lavazza Dek,Lavazza | lavazza | Lavazza | Lavazza
lavva,lavva,lavva,lavva,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,dairies,United States,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,Original Plant Based Yogurt | Strawberry Plant Based Yogurt | Vanilla Plant Based Yogurt | Mango Plant Based Yogurt,Lavva | Lavva | Lavva | Lavva
lazaro,lazaro,lazaro,lazaro,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,snacks,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,Madeleines | Madeleines Longues X12 | Madeleines | Brownies aux pépites de chocolat,Lazaro | Lazaro | Lázaro | Lazaro
lazyday,lazyday,lazyday,lazyday,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,snacks,United Kingdom,UK_IE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,Lazyday Scottish Shortbread | Chocolate Tiffin | Belgian chocolate cake bars | Salted caramel crispies,Lazyday | Lazyday | Lazyday | Lazyday
le bio pour tous,le bio pour tous,le bio pour tous,le bio pour tous,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,dairies,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,Ghee | Mousse au chocolat noir | Camembert | Crème dessert au lait entier,Le bio pour tous | Le bio pour tous | Le Bio pour Tous | Le Bio pour Tous
le bon,le bon,le bon,le bon,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,snacks,France,FRANCE|SOUTHERN_EUROPE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,Wafers alla nocciola | Frollini con farina 100% integrale | 78 % cacao | Barrette al latte,"Le bon, MD | Le Bon, MD | Le Bon | Le Bon, MD"
le bon gout de chez nous,le bon gout de chez nous,le bon gout de chez nous,le bon gout de chez nous,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,snacks,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,Biscuit bio sans gluten chocolat noir | Biscuit fleur d'oranger | Biscuit Bio Chocolat Noir & Orange | Biscuit Bio chocolat noir,Le Bon Goût de Chez Nous | le bon goût de chez nous | le bon goût de chez nous | le Bon goût de chez nous
le bon grain,le bon grain,le bon grain,le bon grain,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,cereals,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,Flocons d'avoine | Muesli Speculoos toastés caramélisés | Muesli chocolat noisette | muesli fruits jaunes bio,Le Bon Grain | Le Bon Grain | Le Bon Grain | le bon grain
le bonheur des ogres,le bonheur des ogres,le bonheur des ogres,le bonheur des ogres,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,snacks,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,"Nougat au miel de Bretagne le nature | Nougat au miel de Bretagne | Le Bonheur des Ogres - Nougat from Brittany with Organic Pistachio, 80g (2.8oz) | Le Bonheur des Ogres - Nougat from Brittany w/ Organic Salted Butter Caramel, 80g (2.8oz)",LE BONHEUR DES OGRES | Le Bonheur des Ogres | Le Bonheur des Ogres | Le Bonheur des Ogres
le campagnou,le campagnou,le campagnou,le campagnou,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,dairies,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,Beurre Doux Le moulé | Beurre doux le moulé | Le Campagnou Beurre | Beurre moulé demi-sel,Le Campagnou | Le Campagnou | Le Campagnou | le Campagnou
le chef cremier,le chef cremier,le chef cremier,le chef cremier,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,dairies,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,Gouda Jeune | Brie | Saint Nectaire Laitier | Morbier AOP,"Le Chef Cremier | Le Chef Crémier, Tradition Bretagne | Le Chef Crémier | Le Chef Cremier"
le cretin des alpes,le cretin des alpes,le cretin des alpes,le cretin des alpes,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,beverages,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,La blonde | Pur jus de framboises | L'alpinade | Sirop de citron,Le crétin des Alpes | Le Crétin des Alpes | Le crétin des Alpes | Le Crétin des Alpes
le fierbois,le fierbois,le fierbois,le fierbois,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,dairies,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,Yaourt au Lait Entier | Le fierbois | Yaourt mirabelle | Crème dessert café,Le Fierbois | Le Fierbois | Le Fierbois | Le Fierbois
le fromage fouette madame loik,le fromage fouette madame loik,le fromage fouette madame loik,le fromage fouette madame loik,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,dairies,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,Paysan Breton - Le Fromage Fouetté Madame Loïk - Au Lait de Vache et Au Chèvre de nos régions françaises | Paysan Breton - L'apéro Madame Loïk au fromage fouetté et Thon | Paysan Breton - Le Fromage Fouetté Madame Loïk - Nature au Sel de Guérande | Paysan Breton - Le Fromage Fouetté Madame Loïk - Au bleu de nos régions françaises,"Le Fromage Fouetté Madame Loïk, Madame flavour | Le Fromage Fouetté Madame Loïk | Le Fromage Fouetté Madame Loïk, Paysan breton | Le Fromage Fouetté Madame Loïk, Paysan breton"
le galzik,le galzik,le galzik,le galzik,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,snacks,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,LE GLAZIK Coeur de Breizh - 150g | LE GLAZIK Madeleine - Marbrée Chocolat - 224g (8x1p) | Petit Glazik pur beurre - coeur caramel au beurre salé | LE GLAZIK Madeleines - 280g (10x1p),"Le Galzik, Lotus, Le glazik | Le Galzik, Le glazik | Le Galzik, Lotus | Le Galzik, Lotus, Le glazik"
le gruyere,le gruyere,le gruyere,le gruyere,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,dairies,France,FRANCE|DACH,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,"Gruyère sur choix | Käse, Le Gruyère Switzerland A.O.P., gerieben - 04.05.23 | Le Gruyère | Fondue ""Création"" du maître fromager","Le Gruyère | LE GRUYÈRE, Migros | Le Gruyère | Le Gruyère"
le jardin des delices,le jardin des delices,le jardin des delices,le jardin des delices,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,beverages,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,sirop de grenadine | Sirop citron | Sirop de grenadine au sucre de canne bio équitable | Sirop de menthe,le jardin des délices | Le Jardin des Délices | Le Jardin Des Delices | Le Jardin Des Délices
le labo dumoulin,le labo dumoulin,le labo dumoulin,le labo dumoulin,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,dairies,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,Kéfir de fruits framboise bio | Kéfir d'eau et de fruits Citron | Kéfir de fruits Thé Vert Menthe bio | Kefir d'eau et de fruits,"Le Labo Dumoulin, Le Labo Dumoulin LLD &CIE | Le Labo Dumoulin | Le Labo Dumoulin, Le Labo Dumoulin LLD &CIE | Le Labo Dumoulin, Le Labo Dumoulin LLD &CIE"
le labo dumoulin lld and cie,le labo dumoulin lld and cie,le labo dumoulin lld and cie,le labo dumoulin lld and cie,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,dairies,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,Kéfir de fruits Thé Vert Menthe bio | Kéfir d'eau et de fruits gingembre | Kefir citron | Kéfir de fruits Gingembre bio,Le Labo Dumoulin LLD &CIE | Le Labo Dumoulin LLD &CIE | Le Labo Dumoulin LLD &CIE | Le Labo Dumoulin LLD &CIE
le pecher du cremier,le pecher du cremier,le pecher du cremier,le pecher du cremier,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,dairies,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,Yaourt nature | Yaourt citron vert | Yaourt cerise au lait entier | Yaourt,Le Pécher du Crémier | Le Pécher du Crémier | Le Pécher du Crémier | Le Pécher du Crémier
le pere craquant,le pere craquant,le pere craquant,le pere craquant,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,snacks,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,Craquant aux amandes | macarons amandes enrobés de chocolat | Navettes aux Graines d'Anis | Mes p'tits carrés sablés aux écorces de citron,Le Père Craquant | le père craquant | Le Père Craquant | Le Père Craquant
le petit velo,le petit velo,le petit velo,le petit velo,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,beverages,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,Blonde pale ale | Biere blanche | Ambrée | Bière blanche,"Le Petit Vélo | Le Petit Vélo | Le Petit Vélo | Le petit vélo, brasserie artisanale du mont Ventoux"
le pressoir dor,le pressoir dor,le pressoir dor,le pressoir dor,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,beverages,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,Pur jus de pomme | Pur jus de pommes | Jus de pomme | Cidre Fermier de Normandie,Le Pressoir d'Or | Le Pressoir d'Or | Le Pressoir d’Or | Le Pressoir d'or
le sirop de monin,le sirop de monin,le sirop de monin,le sirop de monin,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,beverages,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,Le Sirop de Monin Amaretto | Sirop Vanille Sugar free | Mojito sans alcool | Cassis Blackcurrant,"Le Sirop de Monin, Monin | Le Sirop de Monin | le sirop de monin | Le Sirop de MONIN"
le veilleur de bieres,le veilleur de bieres,le veilleur de bieres,le veilleur de bieres,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,beverages,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,Bière - La muretaine Ambrée | Messaline | Jack - Ambrée tourbée | Bière NEIPA Le Veilleur de Bières,"le Veilleur de bières | Le Veilleur de bières | Le Veilleur de bières | Le veilleur de bières,Culture Craft"
lea nature jardin bio,lea nature jardin bio,lea nature jardin bio,lea nature jardin bio,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,beverages,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,Lait de coco | Lait de coco | The vert | Rooibos d’Afrique du sud,Léa Nature Jardin Bio | Léa Nature Jardin Bio | Léa Nature Jardin Bio | Léa Nature Jardin Bio
leau neuve,leau neuve,leau neuve,leau neuve,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,beverages,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,Eau minérale naturelle de montagne | L’eau neuve | Eau minérale naturelle gazéifiée | Eau minérale naturelle de montagne,L'eau neuve | L'eau neuve | l'eau neuve | L'Eau Neuve
leclerc,leclerc,leclerc,leclerc,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,cereals,France,FRANCE,Manual review / complex ownership,Manual review / complex ownership,manual_review,multiple_or_manual_mapping_rows,Multiple direct/manual mapping rows exist for this brand.,leclerc,False,False,4,Muesli | Cereales mini cookies | Petales choco | Petales de céréales fruits rouges,Leclerc | Leclerc | Leclerc | Leclerc
leclerc,leclerc,leclerc,leclerc,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,dairies,United States,US_CANADA,Manual review / complex ownership,Manual review / complex ownership,manual_review,multiple_or_manual_mapping_rows,Multiple direct/manual mapping rows exist for this brand.,leclerc,False,False,4,Etchola vache/brebis | Gorgonzola Mascarpone | Comté AOP Fort des Rousses | Fromage frais,Leclerc | Leclerc | Leclerc | Leclerc
lemonhead,lemonhead,lemonhead,lemonhead,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,snacks,United States,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,"Redrific Assorted Fruit Flavored Candies, Redrific Assorted Fruit | The Original Lemon Candy | Lemon Candy | Candy",Lemonhead | Lemonhead | Lemonhead | Lemonhead
lencloitre,lencloitre,lencloitre,lencloitre,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,snacks,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,"Sablé du Poitou | Sablés bio à l'épeautre POITOU BISCUITS | Sablé à l'épautre et miel | Petits Broyés Poitevins au beurre frais LENCLOITRE, pot à lait",Lencloitre | Lencloître | Lencloitre | Lencloitre
les ateliers de la veggisserie,les ateliers de la veggisserie,les ateliers de la veggisserie,les ateliers de la veggisserie,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,snacks,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,Crumble pomme-poire | Crumble pomme framboise | Mi-cuit chocolat | Macaron bio,Les Ateliers de la Veggisserie | Les ateliers de la Veggisserie | Les Ateliers de la Veggisserie | Les ateliers de la Veggisserie
les cassis dalice,les cassis dalice,les cassis dalice,les cassis dalice,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,beverages,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,Nectar Cassis | Nectar fraise | Sirop de cassis | Sirop fraise,Les Cassis d'Alice | Les Cassis d'Alice | Les cassis d'Alice | Les Cassis d'Alice
les celliers de lodet,les celliers de lodet,les celliers de lodet,les celliers de lodet,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,beverages,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,"Cidre doux artisanal 2° | Cidre brut artisanal 5,5° | Cidre de Lézergué, doux | Cidre artisanal brut","Les celliers de l'Odet, U | Les celliers de l'odet,U | Les Celliers de l'Odet | Les Celliers de l'Odet"
les confitures du vieux cherier,les confitures du vieux cherier,les confitures du vieux cherier,les confitures du vieux cherier,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,beverages,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,Sirop de fraise Local | Sirop de framboise | Sirop de griotte | Sirop de Mure,Les Confitures Du Vieux Chérier | Les Confitures Du Vieux Chérier | Les Confitures Du Vieux Chérier | Les Confitures Du Vieux Chérier
les creations,les creations,les creations,les creations,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,dairies,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,Burrata basilic 100g | Burrata fumee 100g | Burrata truffe 100g | Stracciatella 150g,Les creations | Les creations | Les creations | Les creations
les delices de lola,les delices de lola,les delices de lola,les delices de lola,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,snacks,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,Chocolat noir et noisettes caramélisées | Tablette chocolat lait noisettes | Chocolat noir | Assortiment de Chocolats,Les Délices de Lola | Les Délices de Lola | Les Délices de Lola | Les Délices de Lola
les delices de retz,les delices de retz,les delices de retz,les delices de retz,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,snacks,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,pain au lait | Brioche tranchée | 8 Pains au Lait aux Pépites de Chocolat au Lait | 10 pains au lait,les delices de retz | Les Délices de Retz | Les Délices de Retz | Les Délices de Retz
les ecureuils,les ecureuils,les ecureuils,les ecureuils,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,snacks,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,"Ecureuils du Languedoc, Madeleines, 31 570 g | Madeleine | Chablys | Madeleines","Les Écureuils, Les Écureuils du Languedoc | Les Écureuils | Les Ecureuils | Les écureuils"
les fermes bio,les fermes bio,les fermes bio,les fermes bio,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,dairies,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,Lait demi-écrémé | Lait demi-écrémé | Beurre Doux Bio (82% MG) | Camembert bio,Les Fermes Bio | Les Fermes Bio | Les Fermes Bio | Les Fermes Bio
les filles de louest,les filles de louest,les filles de louest,les filles de louest,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,beverages,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,no_mapping_match,,,False,False,4,Le schorle - La pomme piquante | Le schorle | Le schorle | Le Schorle - La rhubarbe pimpante,LES FILLES DE L'OUEST | Les Filles de l'Ouest | les Filles de l'Ouest | Les Filles de l'Ouest
