review_decision,review_note,normalized_brand,query_category,primary_country,observed_market_region_codes,current_company,proposed_company,proposed_ownership_resolution_status,company_mapping_would_change,product_count,example_product_names,example_off_brands_raw
,,au,beverages,United Kingdom,UK_IE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,30 AU ODKA MADE WITH VODKA BLUE RASPBERRY PUMOURED | AU Vodka,AU | AU
,,au coeur de nos villages,dairies,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Beaufort | Reblochon de Savoie,"Au coeur de nos villages, Fromagerie Edouard Conus | AU COEUR DE NOS VILLAGES, FROMAGERIE ÉDOUARD CONUS"
,,au cur du pays vert,dairies,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,"Tome fraîche | Crème Fraîche, Au Coeur Du Pays Vert 50cl","Au cœur du Pays Vert | Au Cœur Du Pays Vert, Au coeur du pays vert"
,,au petit primeur,beverages,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Pur Jus de pamplemousse bio | Citronnade Bio,Au Petit Primeur | Au Petit Primeur
,,au sable normand,snacks,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Langues de chat | Sablés normands,au sablé normand | Au Sablé Normand
,,auchan,beverages,France,FRANCE|DACH,Manual review / complex ownership,Manual review / complex ownership,manual_review,False,2,Grenadine 0% sucre | Lait écrémé,Auchan | Auchan
,,auchan,dairies,France,FRANCE|UK_IE,Manual review / complex ownership,Manual review / complex ownership,manual_review,False,2,Meule fruitée | Mini fromages de chèvre,Auchan | Auchan
,,auchan,dairies,France,FRANCE|US_CANADA,Manual review / complex ownership,Manual review / complex ownership,manual_review,False,2,Crème Dessert au chocolat | Crème légère fluide15% mat. gr.,"Auchan, DANONE | Auchan"
,,auchan,snacks,France,FRANCE|UK_IE,Manual review / complex ownership,Manual review / complex ownership,manual_review,False,2,Bouteilles goût Cola | Gaufres Liégeoises Au Chocolat,"Auchan, Pouce | Auchan"
,,aucune,beverages,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Hydrixir Longue Distance - Saveur Menthe - 600G - Overstims | Psychik Zero - Taurine drink,Aucune | aucune
