review_decision,review_note,normalized_brand,query_category,primary_country,observed_market_region_codes,current_company,proposed_company,proposed_ownership_resolution_status,company_mapping_would_change,product_count,example_product_names,example_off_brands_raw
,,Carrefour Bio,dairies,France,FRANCE,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,149,Crème Dessert Vanille | Emmental français | Emmental français | Emmental au lait cru | Emmental Français,Carrefour BIO | Carrefour bio | Carrefour BIO | Carrefour Bio | Carrefour BIO
,,monoprix gourmet,dairies,France,FRANCE,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,142,Selles-sur-Cher | Camenbert de Normandie | Salers | Reblochon de Savoie fermier | Reblochon de Savoie fermier,Monoprix Gourmet | Monoprix Gourmet | Monoprix Gourmet | Monoprix Gourmet | Monoprix Gourmet
,,Carrefour Bio,snacks,France,FRANCE,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,79,Dessert noir - Puur 52% cacao | Pain au chocolat | Croissants | Croissant pur beurre | Croissant,"Carrefour BIO | Carrefour BIO | Carrefour Bio,Carrefour | Carrefour BIO | Carrefour Bio,Carrefour"
,,Carrefour Bio,beverages,France,FRANCE,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,66,Jus d’orange | dosettes café équilibré | Dosettes café doux | Boisson Amande à la vanille,Carrefour BIO | carrefour bio | Carrefour BIO | Carrefour Bio | Carrefour BIO
,,tartare,dairies,France,FRANCE,Other / not mapped to a company,Manual review / complex ownership,manual_review,True,61,"Tartare - familial | Tartare | L'Original Tartare, Ail & Fines Herbes (12 Portions) - (32,2 % MG) | L’original tartare | Tartare Ail & Fines herbes Léger","Savencia,Tartare | Savencia,Tartare | Savencia, Tartare | Savencia, Tartare | Savencia,Tartare"
,,taillefine,dairies,France,FRANCE,Danone,Manual review / complex ownership,manual_review,True,56,Taillefine nature | Yaourt 0% taillefine | Hipro | Taillefine recette au fromage blanc fraise 120 g x 4 | Taillefine recette au fromage blanc peche 120 g x 4,"Danone, Taillefine | Danone, Taillefine | Danone, Taillefine | Danone, Taillefine, Taillefine fromage | Danone, Taillefine, Taillefine fromage"
,,KitKat,snacks,France,FRANCE,Manual review / complex ownership,Nestlé,market_scoped,True,54,"Kitkat | KITKAT Ball, Chapelet Billes au chocolat au Lait, 5x30g | Barres au chocolat blanc | KITKAT Blanc, 4 barres enrobage blanc, 8x41,5g | KITKAT Tablette Saveur Cookie Dough 99g","Nestlé, Kit Kat | Nestlé, Kit kat ball, Kitkat | Nestlé, Kitkat | Nestlé, Kitkat | Nestlé, Kit Kat"
,,st môret,dairies,France,FRANCE,Other / not mapped to a company,Manual review / complex ownership,manual_review,True,53,St moret | Saint Moret léger 8% | st Môret | St Moret bio | St Môret - Le goût primeur,"Savencia, St Moret | Savencia, St moret | Savencia, st môret | Savencia, St moret | Savencia, St Môret"
,,Carrefour Bio,snacks,France,FRANCE|SOUTHERN_EUROPE,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,51,cookies bio chocolat noisette | Chocolate con LECHE | Fourrés au cacao | Biscuits Petit déjeuner Céréales Pépites de Chocolat et Noisettes | Lunettes à la fraise,"Carrefour bio | Carrefour BIO,Carrefour | Carrefour BIO,Carrefour | Carrefour BIO, Carrefour | Carrefour BIO, Carrefour"
,,auchan bio,beverages,France,FRANCE,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,48,AUCHAN CAFE BIO ESPRESSO NS HOME COMPOST Riche et équilibré. | AUCHAN CAFE BIO LUNGO NS HOME COMPOST Rond et délicat. | Bio classico | AUCHAN CAFE FILIERE BIO MEXIQUE COMPATIBLE NESPRESSO HOME COMPOST Riche et fruité | Poudre cacaotée bio 32% de cacao,"Auchan Bio | Auchan Bio | Auchan Bio | Auchan Bio | Auchan Bio,auchan"
,,auchan bio,dairies,France,FRANCE,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,45,Beurre moulé doux bio | Comté bio Auchan | Emmental français au lait cru | Lait frais microfiltré | Lait Frais Microfiltré Demi-Écrémé Bio,"Auchan bio | Auchan Bio,Auchan | Auchan Bio | Auchan Bio,Auchan | Auchan Bio,Auchan,Groupe Auchan"
,,yoplait,dairies,France,FRANCE,Other / not mapped to a company,Manual review / complex ownership,manual_review,True,45,"Panier de Yoplait (0 % MG, 0 % Sucres ajoutés) - (Fraise, Pêche, Cerise, Ananas, Abricot, Mûre) 4 Pots | Panier de Yoplait Exotique (Ananas, Coco, Mangue) 8 Pots | Panier de Yoplait (0 % MG, 0 % Sucres ajoutés) - (Cerise, Fraise, Framboise, Mûre) 8 Pots | Panier de Yoplait Cerise, Fraise, Framboise, Mûre | Panier de Yoplait Pêche, Poire","Panier de Yoplait, Yoplait | Panier de Yoplait, Yoplait | Panier de Yoplait, Yoplait | Panier de Yoplait, Yoplait | Panier de Yoplait, Yoplait"
,,tesco finest,snacks,United Kingdom,UK_IE,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,42,Tesco Finest Dark Milk Chocolate | Tesco Finest Ecuador Dark Chocolate | Belgian Triple Chocolate Cookies | British Ribeye Steak | Mature Cheddar & Red Onion Flavour Hand Cooked Crisps,Tesco Finest | Tesco Finest | TESCO finest | TESCO finest | Tesco Finest
,,auchan bio,snacks,France,FRANCE,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,40,Snacks pois chiche | Bio Chocolat noir 70% | Cake aux fruits tranché BIO | Gaufres au miel à la farine d'épeautre BIO | Biscuits Tablette Chocolat au Lait,"Auchan bio | Auchan Bio,Auchan | Auchan Bio | Auchan Bio | AUCHAN BIO"
,,mont blanc,dairies,France,FRANCE,Other / not mapped to a company,Manual review / complex ownership,manual_review,True,39,"MONT BLANC Crème dessert Boîte Chocolat 4,3kg | MONT BLANC Crème dessert Boîte Saveur Vanille 4,3kg | MONT BLANC Crème dessert Coupelles Caramel 4x125g | MONT BLANC Crème dessert Boîte Caramel 570g | Crème dessert au café","Crème Dessert, MONT BLANC | Crème Dessert, MONT BLANC | Crème Dessert,MONT BLANC | Crème Dessert,MONT BLANC | Crème Dessert, MONT BLANC"
,,kettle brand,snacks,United States,US_CANADA,Other / not mapped to a company,Manual review / complex ownership,manual_review,True,37,Potato Chips Unsalted (US only) | Potato Chips Sea Salt | Potato Chips Krinkle Cut Salt & Fresh Ground Pepper | Potato Chips New York Cheddar | Potato Chips New York Cheddar,Kettle Brand | Kettle Brand | Kettle Brand | Kettle Brand | Kettle Brand
,,target stores,snacks,United States,US_CANADA,Other / not mapped to a company,Manual review / complex ownership,manual_review,True,37,"Archer farms, cheesecake, salted caramel | Pumpkin Corn Tortilla Chips | Chocolate Peppermint Cookies & Red Velvet Crisp Sugar Cookies | Archer farms, red velvet brownie | Archer farms, cookies with coffee cream filling, dark chocolate","Archer Farms, Target Stores | Archer Farms, Target Stores | Archer Farms, Target Stores | Archer Farms, Target Stores | Archer Farms, Target Stores"
,,Carrefour Bio,beverages,France,FRANCE|SOUTHERN_EUROPE,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,36,SOJA à la VANILLE | SOJA Sans sucres ajoutés | Pur jus de citron | Thé noir Darjeeling | Grenade Bio,"Carrefour BIO, Carrefour | Carrefour BIO,Carrefour,Groupe Carrefour | Carrefour BIO | Carrefour BIO, Carrefour | Carrefour BIO, Carrefour"
,,président,dairies,France,FRANCE,Other / not mapped to a company,Manual review / complex ownership,manual_review,True,35,Petit brie crémeux | Rondelé au bleu | Emmental Bio | PRESIDENT BURGER CHEDDAR EMMENTAL 12 TRANCHES 200g | Beurre doux la laiterie BIO,"Lactalis, Président | Lactalis, Président | Lactalis, Président | Lactalis, Président | Lactalis, President"
,,u bio,dairies,France,FRANCE,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,35,Beurre de baratte | Beurre doux | Lait demi écrémé stérilisation UHT | Camembert | Yaourt au lait entier avec morceaux de fraises,U BIO | U BIO | U bio | U Bio | U Bio
,,wegmans organic,beverages,United States,US_CANADA,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,35,100% apple juice | Wegmans Organic Lemonade | 100% grape juice | Wegmans organic strawberry leomonade | Organic Mango Lemonade,Wegmans Organic | Wegmans Organic | Wegmans Organic | Wegmans Organic | Wegmans Organic
,,yoplait,dairies,France,FRANCE,Other / not mapped to a company,Manual review / complex ownership,manual_review,True,35,Perle de Lait (Fraise) 4 Pots | Perle de Lait Coco en fins éclats (8 pots) | Perle de Lait (Caramel) 4 Pots | Perle de Lait (Nature) 4 Pots | Perle de Lait (Coco en fins éclats) 8 Pots - Offre Économique,"Perle de Lait, Yoplait | Perle de Lait,Yoplait | Perle de Lait, Yoplait | Perle de Lait, Yoplait | Perle de Lait, Yoplait"
,,monoprix gourmet,snacks,France,FRANCE,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,34,"Chips de sarrasin au sel de Guérande | Mini tablettes de chocolat noir, 72% de cacao | Tortina Noisette et Chocolat au Lait | Petits macarons à la pistache, chocolat, framboise et cappuccino | Gâche","Monoprix Gourmet | Monoprix Gourmet | Monoprix Gourmet, Monoprix | Monoprix Gourmet | Monoprix Gourmet"
,,casino bio,beverages,France,FRANCE,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,33,Sirop Grenadine | Bio Soja cuisine | Cidre bouché brut biologique 5% vol 75cl bio | 100 % Pur Jus Orange pressée avec pulpe | 100 % Pur Jus Pomme bio,Casino Bio | Casino Bio | Casino Bio | CASINO BIO | CASINO BIO
,,Nescafé Dolce Gusto,beverages,France,FRANCE,Other / not mapped to a company,Manual review / complex ownership,manual_review,True,31,Cappuccino | Capsules NESCAFE Dolce Gusto Espresso Ristretto 16 Capsules | Marrakech tea | DOLCE GUSTO Grande | Coffret Espresso,"Dolce Gusto, Nescafé | Dolce gusto, Nescafé | Dolce Gusto, Nescafé | Dolce Gusto, Nescafé | Dolce Gusto, Nescafé"
,,kettle brand,snacks,United States,US_CANADA,Other / not mapped to a company,Manual review / complex ownership,manual_review,True,31,Potato Chips New York Cheddar | Potato Chips Sea Salt & Vinegar | Organic Potato Chips Sea Salt | Potato Chips Krinkle Cut Sea Salt | Potato Chips Krinkle Cut Salt & Fresh Ground Pepper,"kettle,Diamond Foods Inc., Kettle Brand | Kettle, Kettle Brand | Kettle, Kettle Brand | Kettle, Kettle Brand | Kettle, Kettle Brand"
,,monoprix bio,beverages,France,FRANCE,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,31,"100% pur jus multifruits | Champagne médort bio extra brut | Café moulu pur arabica, Mexique | MONOPRIX BIO 100% PUR JUS D'ORANGE | Raisin rouge 100% pur jus bio",Monoprix Bio! | Monoprix Bio | Monoprix bio | MONOPRIX BIO ! | MONOPRIX BIO !
,,Capri Sun,beverages,United States,US_CANADA,Other / not mapped to a company,Kraft Heinz,market_scoped,True,30,"Mountain Cooler | Strawberry juice drink pouches | Tropical punch juice pouch pouches | Grape flavored juice drink blend, grape | Capri sun, fruit juice, surfer cooler mixed fruit",Caprisun | Caprisun | Caprisun | Caprisun | Caprisun
,,paturages,dairies,France,FRANCE,Other / not mapped to a company,Manual review / complex ownership,manual_review,True,29,"Lait uht entier bq 1l | Crème Fraîche Épaisse Entière (30 % MG) | P'TIT AROM YAOURT AROMATISE 16X125G - fruits des bois, noix de coco, framboise, abricot, banane, fraise - P'tits Prods | Lait frais demi-écrémé | Lait uht 1/2 ecreme bt 1l","Les Mousquetaires, Páturages, Sélection des Mousquetaires | Les Mousquetaires, Páturages, Sélection des Mousquetaires | Les Mousquetaires, Páturages, Sélection des Mousquetaires | Les Mousquetaires, Páturages, Sélection Intermarché | Les Mousquetaires, Páturages, Sélection des Mousquetaires"
,,Monster Energy,beverages,France,FRANCE,Other / not mapped to a company,Monster Beverage Corp,market_scoped,True,28,Ripper Juiced | Monster | Monster Assault | Monster zero 50cl édition call of duty | Monster Energy,"Monster, Monster Energy, Monster Energy Company | Monster, Monster Energy | Monster, Monster Energy | Monster, Monster Energy, Monster Energy Company | Monster, Monster Energy, Monster Energy Company"
,,sainsburys taste the difference,snacks,United Kingdom,UK_IE,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,27,Sainsburys free from gluten triple chocolate cookies all butter recipe | Sicilian lemon flavoured meringues | Taste the Difference FreeFrom Mini Mince Pies | Chunky Maris Piper Chips | Belgian Dark Drinking Chocolate,"Sainsbury's taste the difference | Sainsbury's taste the difference | Sainsbury's Taste The Difference, Sainsbury's | Sainsbury's Taste the Difference,Taste the difference,Sainsbury's | Sainsbury’s Taste the Difference"
,,u bio,beverages,France,FRANCE,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,27,Jus de Pomme | Jus de Citron pur jus bio | Boisson au soja vanille | Nectar orange pêche abricot | Nectar multifruit,U bio | U BIO | U Bio | U Bio | U Bio
,,u saveurs,dairies,France,FRANCE,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,27,Selles-sur-Cher | Burrata à la truffe d'été | Comté | Comte affine 18 mois minimum | Comté AOP au lait cru,U Saveurs | U Saveurs | U Saveurs | U Saveurs | U Saveurs
,,yoplait,dairies,France,FRANCE,Other / not mapped to a company,Manual review / complex ownership,manual_review,True,26,"Yaourt sucré, aux fruits, aromatisé | Panier de Yoplait Fraise - Framboise | Panier de Yoplait Plus de fruits | PANIER DE YOPLAIT | Panier de Yoplait j'aime la rhubarbe","Panier recette classique, Yoplait | Panier recette classique, Yoplait | Panier recette classique, Yoplait | Panier recette classique, Yoplait | Panier recette classique, Yoplait"
,,Carrefour Bio,cereals,France,FRANCE,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,25,Croustillant nature | Flakes d'épeautre | Blé soufflé au miel | muedli floconneux chocolat noisettes | Croustillant 3 chocolats,Carrefour Bio | Carrefour BIO | Carrefour BIO | Carrefour BIO | Carrefour Bio
,,tesco finest,dairies,United Kingdom,UK_IE,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,24,Thick & Creamy Roasted Hazlenut Yoghurt | 0% fat Greek yogurt | Channel island while milk | Aged Blue Stilton | Kidderton Ash Goat s Cheese,"Tesco Finest | Tesco finest | Tesco finest, Tesco | Tesco finest,tesco | Tesco Finest,Tesco"
,,yoplait,dairies,France,FRANCE,Other / not mapped to a company,Manual review / complex ownership,manual_review,True,24,"Spécialité laitière sucrée, aromatisée à la vanille | Spécialité laitière sucrée au citron, aromatisée | Spécialité laitière sucrée, aromatisée | Spécialité laitière sucrée, aromatisée à la vanille | Spécialité laitière sucrée, au citron, aromatisée","Perle de lait non blanc, Yoplait | Perle de lait non blanc, Yoplait | Perle de lait non blanc, Yoplait | Perle de lait non blanc, Yoplait | Perle de lait non blanc, Yoplait"
,,yoplait,dairies,France,FRANCE,Other / not mapped to a company,Manual review / complex ownership,manual_review,True,24,"Yop, Fraise | Yop litchi | Yop Vanille | Yop, Parfum Fraise-Banane | Yop, Parfum Framboise (Offre Economique)","Yop, Yoplait | Yop, Yoplait | Yop, Yoplait | Yop, Yoplait | Yop,Yoplait"
,,monoprix bio,snacks,France,FRANCE,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,23,6 Gaufres au Miel à la farine d'épeautre | Goûter fourrés Cacao | Barres Abricot Chocolat | Barres Cranberries cajou quinoa Bio Monoprix,"Monoprix Bio, monoprix | MONOPRIX BIO ! | MONOPRIX BIO ! | MONOPRIX BIO ! | MONOPRIX BIO !"
,,boursin,dairies,France,FRANCE,Other / not mapped to a company,Manual review / complex ownership,manual_review,True,22,"Boursin Apéritif Les roulés Jambon fumé Poivre | Tomate, Oignon & Ciboulette (39,5 % MG) | Boursin® Salade Figue & apéritif | Boursin® Echalote & Ciboulette Portion x10 | Boursin® Figues et 3 Noix Portion x10","Bel, Boursin, Boursin aperitif | Bel, Boursin | Bel, Boursin, Boursin salade | Bel, Boursin, Boursin atartiner/core cheese | Bel, Boursin, Boursin atartiner/core cheese"
,,monoprix bio,dairies,France,FRANCE,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,22,Emmental | Emmental bio | Emmental | Emmental | Emmental,Monoprix Bio | Monoprix Bio | Monoprix Bio | Monoprix Bio | Monoprix Bio
,,Carrefour Bio,dairies,France,FRANCE|SOUTHERN_EUROPE,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,21,Yaourts nature au lait entier x12 Bio Carrefour | Fromage Frais | Beurre demi-sel | Crème dessert chocolat | Crème dessert vanille,"Carrefour BIO, Carrefour | Carrefour BIO,Carrefour | Carrefour BIO, Carrefour | Carrefour BIO, Carrefour, Groupe Carrefour | Carrefour BIO, Carrefour"
,,Coca-Cola,beverages,United States,US_CANADA,Other / not mapped to a company,Manual review / complex ownership,manual_review,True,21,coke | Diet coke | Cherry coke | Diet Coke - 6pk/16.9 fl oz Bottles | Diet Coke Caffeine Free - Bottles,Coke | Coke | Coke | Coke | Coke
,,st môret,dairies,France,FRANCE,Other / not mapped to a company,Manual review / complex ownership,manual_review,True,21,"St Môret Léger 8% MG | St Môret Bio | St Moret Bio - offre découverte | St Moret Léger - format familial | St Môret® Le Goût Primeur (17,8% MG)","Fromarsac, Savencia, St Moret | Fromarsac, Savencia, St Môret | Fromarsac, Savencia, St Moret | Fromarsac, Savencia, St Moret | Fromarsac, Savencia, St Môret"
,,Carrefour Bio,dairies,Belgium,BENELUX|FRANCE,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,20,"Féta Bio | Aux fruits avec morceaux Fraise, Poire, Abricot ou Framboise | Petit reblochon au lait cru Bio | yaourt à la greque | Carrefour Bio Lait Demi-Écrémé","Carrefour BIO, Carrefour | Carrefour BIO, Carrefour | Carrefour BIO, Carrefour | carrefour bio | Carrefour BIO, Carrefour"
,,Simpl,snacks,France,FRANCE|SOUTHERN_EUROPE,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,20,Croissants | Pain au Chocolat | Brioche tranchée | Barre pâtissière | Biscuit tablette,"Carrefour, Simpl | Carrefour, Simpl | Carrefour, Simpl | Carrefour, Simpl | Carrefour, Simpl"
,,quaker,cereals,France,FRANCE,Other / not mapped to a company,Manual review / complex ownership,manual_review,True,20,Cruesli Chocolat | Cruesli au chocolat (Offre Spéciale) | Cruesli chocolat au lait | Cruesli 4 Noix (Format 600 g) | Cruesli chocolat au lait (format familial),"Cruesli, Quaker | Cruesli, PepsiCo, Quaker | Cruesli, PepsiCo, Quaker | Cruesli, PepsiCo, Quaker | Cruesli, PepsiCo, Quaker"
,,wegmans organic,dairies,United States,US_CANADA,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,20,Unsalted Sweet Cream Butter | Salted butter | cream cheese | 1% low fat milk | Vitamin D Whole Milk,Wegmans Organic | Wegmans Organic | Wegmans Organic | Wegmans Organic | Wegmans Organic
,,Fuze Tea,beverages,France,FRANCE,Other / not mapped to a company,Manual review / complex ownership,manual_review,True,19,fuzetea | Fuzetea thé glacé pêche intense | Tea pêche | Fuzetea pomme cannelle | Fuzetea Peach,fuzetea | Fuzetea | Fuzetea | Fuzetea | Fuzetea
,,casino bio,dairies,France,FRANCE,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,19,Emmental Bio | Faiselle lait entier Bio | Crème dessert au chocolat Bio | Lait demi-écrémé | Lait entier,"Casino Bio | Casino Bio | Casino BIO, Groupe Casino | Casino BIO, Groupe Casino | Casino bio"
,,coop naturaplan,dairies,France,FRANCE|DACH,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,19,"Jogurt Nature bio | Yogourt Moka Bio, ferme | Bifidus Vollmilchjogurt nature BIO | Beurre bio | Lait Drink Bio",coop naturaplan | Coop naturaplan | Coop Naturaplan | Coop naturaplan | Coop naturaplan
,,simply indulgent gourmet,snacks,United States,US_CANADA,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,19,"Simply indulgent gourmet, glazed cookies, cranberry & orange | Simply indulgent gourmet, traditional biscuits | Simply indulgent gourmet, cookies, chocolate peppermint | Simply indulgent gourmet, brownie crisp cookies | Simply indulgent gourmet, crisps cookies, peanut brittle","Simply Indulgent Gourmet, Cresent Manufacturing | Simply Indulgent Gourmet, Too Good Gourmet Inc. | Simply Indulgent Gourmet, Too Good Gourmet Inc. | Simply Indulgent Gourmet, Too Good Gourmet Inc. | Simply Indulgent Gourmet, Too Good Gourmet Inc."
,,yoplait,dairies,France,FRANCE,Other / not mapped to a company,Manual review / complex ownership,manual_review,True,19,"Fromage Blanc Battu au Lait Demi-écrémé | Fromage Frais Calin 20% M.G. | Calin Poire et Ananas | Yoplait Calin | Calin+ Fruits Pêche, Abricot, Fraise, Framboise)","Calin, Yoplait | Calin, Yoplait | Calin, Yoplait | Calin, Yoplait | Calin+, Yoplait"
,,yoplait,dairies,France,FRANCE,Other / not mapped to a company,Manual review / complex ownership,manual_review,True,19,Dessert lacté au chocolat | Yop: Ananas Pêche Céréales | Yaourt à boire sucré aromatisé | Yop parfum coco | Yaourt à boire sucré aromatisé,"Yop gf, Yoplait | Yop gf, Yoplait | Yop gf, Yoplait | Yop gf, Yoplait | Yop gf, Yoplait"
,,Carrefour Sélection,beverages,France,FRANCE,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,18,"Orange Floride, 100 % Pur Jus Pressé | Ananas Costa Rica, 100 % Pur jus pressé | Raisin Litchi, 100 % Purs Fruits Pressés | Orange du Brésil 100% pur fruit pressé | Douceur exotique",Carrefour Sélection | Carrefour Sélection | Carrefour Sélection | Carrefour Sélection | Carrefour Selection
,,wegmans food markets inc,snacks,United States,US_CANADA,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,18,Chocolate Indulgence With Pecans Cookie | Dark Chocolate Covered Pretzels With Peppermint Candy | Sandwich Creme Cookies | Wholesum Bars | Whole sum bars,Wegmans Food Markets Inc. | Wegmans Food Markets Inc. | Wegmans Food Markets Inc. | Wegmans Food Markets Inc. | Wegmans Food Markets Inc.
,,Carrefour Bio,cereals,France,FRANCE|SOUTHERN_EUROPE,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,17,Muesli croustillant chocolat | Muesli croustillant | Muesli 5 céréales nature | Corn flakes | Croustillant Chocolat quinoa,"Carrefour BIO, Carrefour | Carrefour BIO,Carrefour | Carrefour BIO,Carrefour | Carrefour Bio,Carrefour | Carrefour Bio,Carrefour"
,,Smarties,snacks,France,FRANCE,Manual review / complex ownership,Nestlé,market_scoped,True,17,SMARTIES Chocolat blanc Sachet 250g | SMARTIES Hexa Multipack 6x34g | Lapin en chocolat Klapperhase | Père Noël | SMARTIES poussin 85g,"Nestlé, Smarties | Nestlé, Smarties | Nestlé, Smarties | Nestlé, Smarties | Nestlé, Smarties"
,,arizona snack company,snacks,United States,US_CANADA,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,17,"Arizona snack company, caramel popcorn | Arizona snack company, peanut brittle | Arizona snack company, peanut clusters, chocolate | Arizona snack company, brite crawlers | Arizona snack company, gummi bears",Arizona Snack Company | Arizona Snack Company | Arizona Snack Company | Arizona Snack Company | Arizona Snack Company
,,chobani flip,dairies,United States,US_CANADA,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,17,Peanut Butter Cup | S'more S'mores | Key Lime Crumble | Almond Coco Loco,Chobani flip | Chobani flip | Chobani flip | Chobani flip | Chobani flip
,,danonino,dairies,France,FRANCE,Danone,Manual review / complex ownership,manual_review,True,17,Danonino | Danonino gourde fraise banane 70 g x 4 | Danonino aux fruits fraise framboise abricot 100 g x 6 | Danoino aux fruits fraise framboise abricot 50 g x 6 | Danonino aux fruits panache 50 g x 24,"Danone, Danonino | Danone, Danonino, Danonino pouch | Danone, Danonino, Danonino fruits | Danone, Danonino, Danonino fruits | Danone, Danonino, Danonino fruits"
,,le rustique,dairies,France,FRANCE,Other / not mapped to a company,Manual review / complex ownership,manual_review,True,17,Tomme fruitée | Le grand Rustique | le grand rustique | Le Rustique | Le Rustique Camembert 250g Offre éco,"CF&R, Le Rustique, Savencia | CF&R, Jean Verrier, Le Rustique, Savencia | CF&R, Le Rustique, Savencia, jean verrier | CF&R, Jean Verrier, Le Rustique, Savencia | CF&R, Le Rustique, Savencia"
,,lu,snacks,France,FRANCE,Other / not mapped to a company,Manual review / complex ownership,manual_review,True,17,"Barre cereales chocolat | Barre de Céréales Pomme | Barre céréalière à la figue, aromatisée | Grany - Barre céréalière au chocolat | Grany 3x125gr pomme lot","Grany, LU | Grany, LU | Grany, Lu | Grany, Lu | Grany, LU"
,,sainsburys taste the difference,dairies,United Kingdom,UK_IE,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,17,Montagnolo affine | grana padano riserva d.o.p | AUTHENTIC GREEK YOGURT | Authentic Greek Yogurt | Comte,"sainsbury's taste the difference, Sainsburys | Sainsbury's taste the difference, Sainsbury's, Sainsburys | Sainsbury's taste the difference | Sainsbury's Taste the Difference | Sainsbury's taste the difference, Sainsbury's"
,,u bio,snacks,France,FRANCE,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,17,Petit-Beurre | Pains au lait nature | Biscuits épeautre et sésame | Pains au chocolat pur beurre | Pain aux raisins U bio,U Bio | U Bio | U bio | U Bio | U Bio
,,yoplait,dairies,France,FRANCE,Other / not mapped to a company,Manual review / complex ownership,manual_review,True,17,Yaourt à boire sucré aromatisé | Yaourt à boire sucré aromatisé | Yaourt à boire sucré aromatisé | Yaourt à boire sucré aromatisé | Yaourt à boire sucré aromatisé,"Yop p'tit yop, Yoplait | Yop p'tit yop, Yoplait | Yop p'tit yop, Yoplait | Yop p'tit yop, Yoplait | Yop p'tit yop, Yoplait"
,,Carrefour Bio,snacks,Belgium,BENELUX|FRANCE|SOUTHERN_EUROPE,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,16,Crackers Espelta 3 semillas | Galletas de arroz inflado rellenas de chocolate y avellana | Chocolate negro | Petit beurre tablette Chocolat noir | Chocolate negro con almendras caramelizadas,"Carrefour BIO, Carrefour | Carrefour BIO, Carrefour | Carrefour BIO | Carrefour BIO, Carrefour | Carrefour BIO,Carrefour"
,,KitKat,snacks,United States,US_CANADA,Other / not mapped to a company,The Hershey Company,market_scoped,True,15,"Breaking Bones | Sweet And Salty Snack Mix With Kit Kat Minis, Pretzels, Chocolate Wafer Bites, And Honey Roasted Almonds, Sweet And Salty | Kit Kat Miniatures Milk Chocolate Wafer Christmas Candy | Crisp Wafers In White Creme Bars, White Creme | Crisp Wafers In White Creme Miniatures, White",Kit Kat | KIT KAT | Kit Kat | KIT KAT | KIT KAT
,,casino bio,snacks,France,FRANCE,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,15,Cookies aux pépites de chocolat noir | P'tits biscuits fourrage au lait | Cookies Noisettes & Chocolat | Boudoirs | BISCUIT Cranberries et spiruline,Casino Bio | CASINO BIO | Casino bio | Casino Bio | Casino Bio
,,kellogs,cereals,France,FRANCE,Mars,Other / not mapped to a company,unresolved,True,15,Special K Nature format maxi 750 g | Kelloggs special K | Coco Pops Crock'n Roll | Tresor | Kelloggs All Bran Regular 500G Kelloggs,Kellog's | kellogs | KELLOG'S | KELLOG'S | kellogs
,,Nescafé,beverages,France,FRANCE,Other / not mapped to a company,Manual review / complex ownership,manual_review,True,14,Capsules India espresso | NESCAFE Farmers Origins Colombia x20 | NESCAFE Farmers Origins India x20 | NESCAFÉ Farmers Origins africas x20 | NESCAFÉ Farmers Origins Brazil Nespresso x20,"Farmers origins, India, Nescafe | Farmers origins, Nescafe | Farmers origins, Nescafe | Farmers origins, Nescafe | Farmers origins, Nescafe"
,,kiri,dairies,France,FRANCE,Other / not mapped to a company,Manual review / complex ownership,manual_review,True,14,"Kiri à l'ail et au fines herbes | Fromage à la crème de lait | Kiri | Kiri Crème 29,5 % 150 MG Calcium | VQR Kiri Spread","Bel, Kiri | Bel, KIRI | Bel, Kiri | Bel, Kiri | Bel,Kiri"
