barcode,product_name,brands,primary_brand,query_category,off_categories,countries,observed_market_region_codes,image_url,energy_kcal_off_raw,energy_kcal,fat_100g_off_raw,fat_100g,saturated_fat_100g_off_raw,saturated_fat_100g,carbs_100g_off_raw,carbs_100g,sugars_100g_off_raw,sugars_100g,fiber_100g_off_raw,fiber_100g,protein_100g_off_raw,protein_100g,salt_100g_off_raw,salt_100g,nutrition_quality_status,outlier_type,include_in_product_table,include_in_aggregates,include_in_charts,nutrition_quality_reason
3292483840045,Sirop menthe rieme,rieme,rieme,beverages,"Boissons, Sirops, Sirops aromatisés, Sirops de menthe",en:france,FRANCE,https://images.openfoodfacts.org/images/products/329/248/384/0045/front_fr.3.400.jpg,1386.0,,0.3,0.3,0.0,0.0,80.3,80.3,78.0,78.0,,,0.3,0.3,0.0,0.0,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
3297260200081,Le tendr’chevre,,unknown,dairies,en:cheeses,en:france,FRANCE,https://images.openfoodfacts.org/images/products/329/726/020/0081/front_fr.3.400.jpg,1260.0,,24.35,24.35,18.0,18.0,0.65,0.65,0.33,0.33,,,20.49,20.49,2.49,2.49,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
3316457000003,Flan nature,,unknown,dairies,"Produits laitiers, Snacks, Desserts, Snacks sucrés, Desserts lactés, Biscuits et gâteaux, Pâtisseries, Flans gélifiés, Flans pâtissiers",en:france,FRANCE,https://images.openfoodfacts.org/images/products/331/645/700/0003/front_fr.4.400.jpg,999.0,,9.9,9.9,6.2,6.2,33.0,33.0,20.0,20.0,,,3.8,3.8,0.27,0.27,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
3324321302160,Brioche Tressée Nature,mémé hélène,meme helene,snacks,"Snacks, Snacks sucrés, Viennoiseries, Brioches, Brioches tressées",en:france,FRANCE,https://images.openfoodfacts.org/images/products/332/432/130/2160/front_fr.12.400.jpg,1350.0,,9.3,9.3,1.1,1.1,57.0,57.0,13.0,13.0,,,7.4,7.4,1.2,1.2,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
3336770040012,Citronnade,,unknown,beverages,"Boissons, Citronnades",en:france,FRANCE,https://images.openfoodfacts.org/images/products/333/677/004/0012/front_fr.3.400.jpg,1092.0,,0.0,0.0,0.0,0.0,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
3365500001207,Le P'tit Mix fromage chèvre et vache 180g LP,,unknown,dairies,"fr:fromages, produits-fermentés, fr:produits-laitiers, produits-laitiers-fermentés, en:cheeses",en:france,FRANCE,,1228.0,,24.0,24.0,16.0,16.0,0.1,0.1,0.1,0.1,,,20.0,20.0,1.5,1.5,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
3395328349526,Chocolat noir 85% Abinao,valrhona abinao,valrhona,snacks,"Snacks,Snacks sucrés,Cacao et dérivés,Chocolats,Chocolats noirs,Chocolat noir en tablette extra dégustation à 70% de cacao minimum",en:france,FRANCE,https://images.openfoodfacts.org/images/products/339/532/834/9526/front_fr.17.400.jpg,922.857142857143,,80.0,80.0,48.5714285714286,48.5714285714286,68.8571428571429,68.8571428571429,27.7142857142857,27.7142857142857,23.1428571428571,23.1428571428571,16.2857142857143,16.2857142857143,0.142857142857143,0.142857142857143,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
3450970137256,Sirop de menthe,eco+,eco+,beverages,"Boissons, Sirops, Sirops aromatisés, Sirops de menthe, Boissons avec sucre ajouté",en:france,FRANCE,https://images.openfoodfacts.org/images/products/345/097/013/7256/front_fr.14.400.jpg,1221.0,,0.5,0.5,0.5,0.5,70.0,70.0,70.0,70.0,0.5,0.5,0.5,0.5,0.02,0.02,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
3501271151042,220G Tbrulees Jelly Fruits Verquin,verquin,verquin,beverages,"Boissons, Boissons avec sucre ajouté",en:france,FRANCE,,1330.0,,5.0,5.0,3.0,3.0,73.0,73.0,52.0,52.0,,,5.0,5.0,0.0,0.0,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
3507570019137,Preparation pour flan vanille sucré,france delices,france delices,dairies,"Dairies, Desserts, Dairy desserts, Specific products, Dried products, Products for specific diets, Cooking helpers, Dried products to be rehydrated, Products without gluten, Dessert mixes, fr:Préparations pour entremets, Flans, Sugary cooking helpers, fr:preparations-pour-flans",en:france,FRANCE,,3860.0,,1.0,1.0,0.0,0.0,940.0,,770.0,,0.0,0.0,1.0,1.0,0.3,0.3,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
3529380012498,Tomme blanche,,unknown,dairies,"Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages, Produits de montagne, Fromages de France, Fromages de montagne, Tommes",en:france,FRANCE,https://images.openfoodfacts.org/images/products/352/938/001/2498/front_fr.3.400.jpg,1490.0,,32.0,32.0,28.0,28.0,0.5,0.5,0.5,0.5,,,18.0,18.0,1.2,1.2,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
