barcode,product_name,brand,company,region,category,image_url,energy_kcal_100g,protein_g_100g,carbs_g_100g,fat_g_100g,sugars_g_100g,saturated_fat_g_100g,fiber_g_100g,salt_g_100g,energy_kcal_macro_calculated_100g,energy_kcal_macro_diff_abs,energy_kcal_macro_diff_pct,protein_g_per_100kcal,carbs_g_per_100kcal,fat_g_per_100kcal,nutrition_quality_status,nutrition_quality_reason,energy_macro_exception_type,beverage_view_segment,include_in_product_explorer,include_in_market_overview_calculations,include_in_market_overview_charts
12000204968,Mtn dew - major melon,mountain dew,PepsiCo,FRANCE,beverages,https://images.openfoodfacts.org/images/products/001/200/020/4968/front_fr.11.400.jpg,45.0704225352113,0.0,12.3943661971831,0.0,12.3943661971831,0.0,,0.0352112676056338,49.5774647887324,-4.507042253521099,-0.09999999999999933,0.0,27.499999999999986,0.0,data_quality_error,nutrient_density_exceeds_energy_limit,,ready_to_drink_beverages,False,False,False
12000205842,peach iced tea,lipton,LIPTON Teas and Infusions,US_CANADA,beverages,https://images.openfoodfacts.org/images/products/001/200/020/5842/front_en.22.400.jpg,3.3333333333333,0.0,5.0,0.0,4.7222222222222,0.0,0.0,0.0868055555555556,20.0,-16.6666666666667,-5.0000000000000595,0.0,150.00000000000148,0.0,data_quality_error,nutrient_density_exceeds_energy_limit,,ready_to_drink_beverages,False,False,False
12000221545,Lemon Lime Flavored Soda,starry,,US_CANADA,beverages,https://images.openfoodfacts.org/images/products/001/200/022/1545/front_en.47.400.jpg,16.9070282516442,0.0,39.0,0.0,39.0,0.0,0.0,0.0098624331467924,156.0,-139.0929717483558,-8.226932000000005,0.0,230.67330000000013,0.0,data_quality_error,nutrient_density_exceeds_energy_limit,,ready_to_drink_beverages,False,False,False
12000240751,Baja Cabo Citrus,mountain dew,PepsiCo,US_CANADA,beverages,https://images.openfoodfacts.org/images/products/001/200/024/0751/front_en.9.400.jpg,1400.0,0.0,,0.0,370.0,0.0,0.0,1.1875,,,,0.0,,0.0,data_quality_error,energy_above_900_kcal;nutrient_value_above_100g,,ready_to_drink_beverages,False,False,False
12000240812,Wild Cherry & Cream,pepsi,PepsiCo,US_CANADA,beverages,https://images.openfoodfacts.org/images/products/001/200/024/0812/front_en.9.400.jpg,42.25352,0.0,11.5493,0.0,11.5493,,,0.02113,46.1972,-3.9436800000000005,-0.09333376248890034,0.0,27.33334406222251,0.0,data_quality_error,nutrient_density_exceeds_energy_limit,,ready_to_drink_beverages,False,False,False
12000250910,Dirty Mountain Dew Cream Soda Dew,mountain dew,PepsiCo,US_CANADA,beverages,https://images.openfoodfacts.org/images/products/001/200/025/0910/front_en.8.400.jpg,45.0704,0.0,12.3943,0.0,12.3943,0.0,0.0,0.1,49.5772,-4.506799999999998,-0.09999467499733747,0.0,27.49986687493344,0.0,data_quality_error,nutrient_density_exceeds_energy_limit,,ready_to_drink_beverages,False,False,False
130509,Wheat Biscuits,sainsbury's,Sainsbury's,UK_IE,snacks,https://images.openfoodfacts.org/images/products/000/000/013/0509/front_en.13.400.jpg,133.0,12.0,68.1,2.0,4.4,0.6,10.0,0.28,338.4,-205.39999999999998,-1.5443609022556388,9.022556390977442,51.20300751879698,1.5037593984962405,data_quality_error,nutrient_density_exceeds_energy_limit,,not_beverage,False,False,False
13130006125,Cream of Wheat Original,cream of wheat,,US_CANADA,cereals,https://images.openfoodfacts.org/images/products/001/313/000/6125/front_en.82.400.jpg,666.666666666667,42.4242424242424,121.212121212121,0.0,45.4545454545455,0.0,3.03030303030303,1.74242424242424,654.5454545454536,12.121212121213375,0.018181818181820054,6.363636363636357,18.181818181818144,0.0,data_quality_error,nutrient_value_above_100g;macro_mass_balance_exceeds_100g,,not_beverage,False,False,False
13130060530,Cream of Wheat Instant Maple Brown Sugar,cream of wheat,,US_CANADA,cereals,https://images.openfoodfacts.org/images/products/001/313/006/0530/front_en.44.400.jpg,485.714285714286,17.1428571428571,100.0,0.0,54.2857142857143,0.0,2.85714285714286,1357.14285714286,468.5714285714284,17.142857142857622,0.03529411764705979,3.529411764705871,20.588235294117634,0.0,data_quality_error,nutrient_value_above_100g;macro_mass_balance_exceeds_100g,,not_beverage,False,False,False
13499900379,Fresh Goat Cheese,schnucks,,US_CANADA,dairies,,943.964285714286,51.0357142857143,12.75,76.5357142857143,0.0,51.0357142857143,0.0,0.0036696428571428,943.964285714286,0.0,0.0,5.406530210737391,1.3506866936551774,8.107903598047747,data_quality_error,energy_above_900_kcal;macro_mass_balance_exceeds_100g,,not_beverage,False,False,False
14100043706,Milano dark chocolate cookie,milano,,US_CANADA,snacks,https://images.openfoodfacts.org/images/products/001/410/004/3706/front_en.3.400.jpg,523.809523809524,4.76190476190476,66.6666666666667,28.5714285714286,33.3333333333333,11.9047619047619,4.76190476190476,0.476190476190476,542.8571428571432,-19.047619047619264,-0.036363636363636764,0.9090909090909085,12.727272727272728,5.454545454545459,data_quality_error,macro_mass_balance_exceeds_100g,,not_beverage,False,False,False
14100074816,Milano Raspberry Chocolate,pepperidge farm,The Campbell's Company,US_CANADA,snacks,https://images.openfoodfacts.org/images/products/001/410/007/4816/front_en.49.400.jpg,1625.0,4.0,60.0,28.0,36.0,16.0,4.0,0.35,508.0,1117.0,0.6873846153846154,0.24615384615384617,3.6923076923076925,1.723076923076923,data_quality_error,energy_above_900_kcal,,not_beverage,False,False,False
