region,category,metric,tail_band,tail_direction,barcode,product_name,brand,company,off_categories,image_url,metric_value,nutrition_quality_status,nutrition_quality_reason,energy_macro_exception_type,suggested_pattern_label
BENELUX,beverages,carbs_g_100g,P0-P1,bottom,3254381016922,"CRISTALINE Eau de Source Pétillante 0,5L",cristaline,,"Boissons, Boissons gazeuses, Eaux, Eaux de sources, Boissons sans alcool, Eaux gazeuses, Boissons sans sucre ajouté",https://images.openfoodfacts.org/images/products/325/438/101/6922/front_fr.123.400.jpg,0.0,valid,,,likely_genuine_outlier_cluster
BENELUX,beverages,carbs_g_100g,P0-P1,bottom,3254381011163,Eau de source cristaline,cristaline,,"Boissons, Eaux, Eaux de sources, Eaux minérales, Boissons sans sucre ajouté",https://images.openfoodfacts.org/images/products/325/438/101/1163/front_fr.39.400.jpg,0.0,valid,,,likely_genuine_outlier_cluster
BENELUX,beverages,carbs_g_100g,P0-P1,bottom,3254381004028,Eau de source,aurele,,"Boissons, Eaux, Eaux de sources, Boissons sans sucre ajouté",https://images.openfoodfacts.org/images/products/325/438/100/4028/front_fr.8.400.jpg,0.0,valid,,,likely_genuine_outlier_cluster
BENELUX,beverages,carbs_g_100g,P0-P1,bottom,20229184,"Freeway Citron 0%, Limonade",freeway,,"Boissons et préparations de boissons,Aliments et boissons à base de végétaux,Boissons,Boissons à base de végétaux,Boissons gazeuses,Boissons aux fruits,Boissons édulcorées,Sodas,Boissons light,Sodas aux fruits,Sodas light,Limonades,Limonade non sucrée avec édulcorants,Sodas aux fruits light",https://images.openfoodfacts.org/images/products/000/002/022/9184/front_fr.3.400.jpg,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,likely_genuine_outlier_cluster
BENELUX,beverages,carbs_g_100g,P0-P1,bottom,8722700129523,Lipton Thé Vert Classique Goût Léger & Subtil 50 Sachets,lipton,LIPTON Teas and Infusions,"Aliments et boissons à base de végétaux, Boissons, Aliments d'origine végétale, Boissons chaudes, Boissons à base de végétaux, Thés, Thés verts, Infusions, Boissons sans sucre ajouté",https://images.openfoodfacts.org/images/products/872/270/012/9523/front_fr.40.400.jpg,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,likely_genuine_outlier_cluster
BENELUX,beverages,carbs_g_100g,P0-P1,bottom,90343377,Chaudfontaine,chaudfontaine,,"Boissons, Eaux, Eaux de sources, Eaux minérales",https://images.openfoodfacts.org/images/products/000/009/034/3377/front_fr.5.400.jpg,0.0,valid,,,likely_genuine_outlier_cluster
BENELUX,beverages,carbs_g_100g,P1-P5,bottom,90331060,Coca Cola Light Limon,coca-cola,Coca-Cola,"Boissons, Boissons gazeuses, Boissons édulcorées, Sodas, Boissons light, Sodas au cola, Sodas light, Sodas au cola light",https://images.openfoodfacts.org/images/products/000/009/033/1060/front_nl.9.400.jpg,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,normal_category_tail
BENELUX,beverages,carbs_g_100g,P1-P5,bottom,90162800,Red bull sugar free,red bull,,"Getränke und Getränkezubereitungen, Getränke, Kohlensäurehaltige Getränke, Getränke mit Süßstoff, Erfrischungsgetränke, Alkoholfreie Getränke, Energy-Drinks",https://images.openfoodfacts.org/images/products/000/009/016/2800/front_en.158.400.jpg,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,normal_category_tail
BENELUX,beverages,carbs_g_100g,P1-P5,bottom,90433252,The lime edition sugarfree,red bull,,"Boissons, Boissons énergisantes",https://images.openfoodfacts.org/images/products/000/009/043/3252/front_fr.4.400.jpg,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,normal_category_tail
BENELUX,beverages,carbs_g_100g,P1-P5,bottom,90357725,Coca-cola zéro,coca cola zero,,"Boissons, Boissons gazeuses, Boissons édulcorées, Sodas, Boissons light, Sodas au cola, Sodas light, Sodas au cola light",https://images.openfoodfacts.org/images/products/000/009/035/7725/front_fr.8.400.jpg,0.0,valid,,,normal_category_tail
BENELUX,beverages,carbs_g_100g,P1-P5,bottom,90357473,Cocacola mini zero sugar,coke zero,,"Boissons et préparations de boissons, Boissons, Boissons gazeuses, Boissons édulcorées, Sodas, Boissons light, Sodas au cola, Sodas light, Sodas au cola light",https://images.openfoodfacts.org/images/products/000/009/035/7473/front_fr.85.400.jpg,0.0,valid,,,normal_category_tail
BENELUX,beverages,carbs_g_100g,P1-P5,bottom,17001233,Eau pure life,nestle,Nestlé,"Beverages, Waters, Spring waters, Mineral waters",https://images.openfoodfacts.org/images/products/000/001/700/1233/front_en.7.400.jpg,0.0,valid,,,normal_category_tail
BENELUX,beverages,carbs_g_100g,P1-P5,bottom,680275029151,Green tea,english tea shop,,"Plant-based foods and beverages, Beverages, Hot beverages, Plant-based beverages, Teas, Green teas",https://images.openfoodfacts.org/images/products/068/027/502/9151/front_en.20.400.jpg,0.0,valid,,,normal_category_tail
BENELUX,beverages,carbs_g_100g,P1-P5,bottom,5060229013866,"Infusion Pomme Sauvage, Cannelle Et Gingembre Bio",pukka,,"Aliments et boissons à base de végétaux, Boissons, Boissons chaudes, Boissons à base de végétaux, Thés",https://images.openfoodfacts.org/images/products/506/022/901/3866/front_fr.21.400.jpg,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,normal_category_tail
BENELUX,beverages,carbs_g_100g,P1-P5,bottom,5060229013941,Thé Gorgeous Earl Grey Bio - 20 Sachets - Pukka,pukka,,"Plant-based foods and beverages, Beverages, Hot beverages, Plant-based beverages, Teas",https://images.openfoodfacts.org/images/products/506/022/901/3941/front_en.5.400.jpg,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,normal_category_tail
BENELUX,beverages,carbs_g_100g,P1-P5,bottom,613008734541,Green Tea zero,arizona,Arizona Beverages,"Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Boissons édulcorées, Boissons au thé, Thés glacés",https://images.openfoodfacts.org/images/products/061/300/873/4541/front_fr.52.400.jpg,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,normal_category_tail
BENELUX,beverages,carbs_g_100g,P1-P5,bottom,5400101003279,Carrefour Kids Eau Minérale Naturelle,carrefour,Carrefour,"Boissons, Eaux, Eaux de sources, Eaux minérales, EAU PLATE, EAU PLATE INF 75CL, MET-24:LIQUIDES",https://images.openfoodfacts.org/images/products/540/010/100/3279/front_fr.15.400.jpg,0.0,valid,,,normal_category_tail
BENELUX,beverages,carbs_g_100g,P1-P5,bottom,9120077850245,Waterdrop Youth,waterdrop,,"Getränke und Getränkezubereitungen, Getränke",https://images.openfoodfacts.org/images/products/912/007/785/0245/front_de.19.400.jpg,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,normal_category_tail
BENELUX,beverages,carbs_g_100g,P1-P5,bottom,5060229013729,Chaï Original Bio - 20 Sachets - Pukka,pukka,,"Aliments et boissons à base de végétaux, Boissons, Boissons chaudes, Boissons à base de végétaux, Thés, Infusions, Thés aromatisés",https://images.openfoodfacts.org/images/products/506/022/901/3729/front_fr.29.400.jpg,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,normal_category_tail
BENELUX,beverages,carbs_g_100g,P1-P5,bottom,3760324842058,Tisane Digestion Sereine,la fourche,,"Aliments et boissons à base de végétaux, Boissons, Boissons chaudes, Boissons à base de végétaux, Infusions, Tisane Digestion Sereine",https://images.openfoodfacts.org/images/products/376/032/484/2058/front_fr.4.400.jpg,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,normal_category_tail
BENELUX,beverages,carbs_g_100g,P1-P5,bottom,3760324840252,Tisane Bonne Nuit,la fourche,,"Aliments et boissons à base de végétaux, Boissons, Boissons chaudes, Boissons à base de végétaux, Infusions, Boissons et préparations de boissons, Tisanes infusées, Non sucrée",,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,normal_category_tail
BENELUX,beverages,carbs_g_100g,P1-P5,bottom,50414369,Teisseire max goût citron et citron vert,teisseire,,"Boissons, Sirops, Boissons édulcorées, Sirops aromatisés, Sirops de citron, Sirops de citron vert",https://images.openfoodfacts.org/images/products/000/005/041/4369/front_fr.4.400.jpg,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,normal_category_tail
BENELUX,beverages,carbs_g_100g,P1-P5,bottom,50414352,Sirop de grenadine,teisseire,,"Boissons, Sirops, Sirops aromatisés, Sirops de grenadine",https://images.openfoodfacts.org/images/products/000/005/041/4352/front_fr.11.400.jpg,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,normal_category_tail
BENELUX,beverages,carbs_g_100g,P1-P5,bottom,8717163877593,Water bueberry açai,unknown,,Flavored bottled water,https://images.openfoodfacts.org/images/products/871/716/387/7593/front_fr.3.400.jpg,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,normal_category_tail
BENELUX,beverages,carbs_g_100g,P1-P5,bottom,8718836390302,Spaghetti,zero noodles,,"aliments-et-boissons-à-base-de-végétaux, aliments-d'origine-végétale, pâtes-alimentaires, nouilles, spaghetti, hr:konjak",https://images.openfoodfacts.org/images/products/871/883/639/0302/front_fr.44.400.jpg,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,normal_category_tail
BENELUX,beverages,carbs_g_100g,P1-P5,bottom,8718657493404,Lungo bella,bellarom,,"Beverages and beverages preparations,Plant-based foods and beverages,Beverages,Plant-based foods,Hot beverages,Coffees,Capsules,Coffee capsules,Dolce Gusto-compatible capsules,Dolce Gusto-compatible coffee capsules",https://images.openfoodfacts.org/images/products/871/865/749/3404/front_fr.22.400.jpg,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,normal_category_tail
BENELUX,beverages,carbs_g_100g,P10-P20,bottom,3502110009357,Pepsi Max,pepsi,PepsiCo,"Beverages and beverages preparations, Beverages, Carbonated drinks, Artificially sweetened beverages, Sodas, Diet beverages, Colas, Diet sodas, Diet cola soft drink, بيبسي ماكس",https://images.openfoodfacts.org/images/products/350/211/000/9357/front_en.101.400.jpg,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,normal_category_tail
BENELUX,beverages,carbs_g_100g,P10-P20,bottom,3502110000651,Pepsi Zéro sucres 50 cl,pepsi,PepsiCo,"Boissons, Boissons gazeuses, Boissons gazeuses sans jus de fruit, Boissons gazeuses sans jus de fruit sucrées avec édulcorants",https://images.openfoodfacts.org/images/products/350/211/000/0651/front_fr.114.400.jpg,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,normal_category_tail
BENELUX,beverages,carbs_g_100g,P10-P20,bottom,3476220000316,DE MONTAGNE (THE MOUNTAIN),eau minerale naturelle,,"Mountain products, en:natural-mineral-waters",https://images.openfoodfacts.org/images/products/347/622/000/0316/front_fr.63.400.jpg,0.0,valid,,,normal_category_tail
BENELUX,beverages,carbs_g_100g,P10-P20,bottom,3434890000036,Eau,delhaize,Ahold Delhaize,"Beverages, Waters, Spring waters, Mineral waters",https://images.openfoodfacts.org/images/products/343/489/000/0036/front_fr.29.400.jpg,0.0,valid,,,normal_category_tail
BENELUX,beverages,carbs_g_100g,P10-P20,bottom,3422150000520,Vin chaud,les 2 marmottes,,"Aliments et boissons à base de végétaux, Boissons, Boissons chaudes, Boissons à base de végétaux, Infusions, Boissons sans sucre ajouté, Préparations pour vin chaud",https://images.openfoodfacts.org/images/products/342/215/000/0520/front_fr.6.400.jpg,0.0,valid,,,normal_category_tail
BENELUX,beverages,carbs_g_100g,P10-P20,bottom,5449000233295,Zero calories Zero caffeine Zerosugar,coca-cola,Coca-Cola,"Beverages and beverages preparations, Beverages, Carbonated drinks, Artificially sweetened beverages, Sodas, Diet beverages, Colas, Diet sodas, Cola sodas without caffeine, Diet cola soft drink, el:refreshment, en:lemonade",https://images.openfoodfacts.org/images/products/544/900/023/3295/front_en.66.400.jpg,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,normal_category_tail
BENELUX,beverages,carbs_g_100g,P10-P20,bottom,5449000228673,Fusion framboise et citron,chaudfontaine,,"Boissons, Boissons gazeuses, Eaux, Eaux de sources, Eaux minérales, Boissons sans alcool, Eaux gazeuses, Eaux aromatisées, Eaux minérales gazeuses, Eaux aromatisées sans sucre ajouté",https://images.openfoodfacts.org/images/products/544/900/022/8673/front_fr.4.400.jpg,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,normal_category_tail
