barcode,product_name,brand,company,region,category,image_url,energy_kcal_100g,protein_g_100g,carbs_g_100g,fat_g_100g,sugars_g_100g,saturated_fat_g_100g,fiber_g_100g,salt_g_100g,energy_kcal_macro_calculated_100g,energy_kcal_macro_diff_abs,energy_kcal_macro_diff_pct,protein_g_per_100kcal,carbs_g_per_100kcal,fat_g_per_100kcal,nutrition_quality_status,nutrition_quality_reason,energy_macro_exception_type,beverage_view_segment,include_in_product_explorer,include_in_market_overview_calculations,include_in_market_overview_charts
3057640606403,,volvic,Danone,FRANCE,beverages,https://images.openfoodfacts.org/images/products/305/764/060/6403/front_en.3.400.jpg,21.0,0.5,4.9,0.4,4.8,0.0,0.0,0.01,25.200000000000003,-4.200000000000003,-0.20000000000000012,2.380952380952381,23.333333333333332,1.9047619047619049,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,ready_to_drink_beverages,True,True,True
3057640606748,,volvic,Danone,FRANCE,beverages,https://images.openfoodfacts.org/images/products/305/764/060/6748/front_en.3.400.jpg,21.0,0.5,4.9,0.5,4.8,0.0,,0.01,26.1,-5.100000000000001,-0.24285714285714294,2.380952380952381,23.333333333333332,2.380952380952381,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,ready_to_drink_beverages,True,True,True
3057640607493,Volvic vitamin+,volvic,Danone,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/305/764/060/7493/front_en.33.400.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007448,0.0,1.0,1.0,0.0,0.0,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,ready_to_drink_beverages,True,True,True
3057640618208,,unknown,,FRANCE,beverages,https://images.openfoodfacts.org/images/products/305/764/061/8208/front_fr.3.400.jpg,1.0,0.0059333333333332,0.0815666666666665,0.0045033333333332,0.0318666666666666,0.000554,0.007,0.0081704666666666,0.3905299999999976,0.6094700000000024,0.6094700000000024,0.5933333333333201,8.15666666666665,0.45033333333331993,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,unknown_beverage_segment,True,True,True
3060730000548,Menthe ciselée,daregal,,FRANCE,beverages,https://images.openfoodfacts.org/images/products/306/073/000/0548/front_fr.6.400.jpg,57.6,3.52,5.3,0.84,5.3,0.22,7.4,0.076,42.84,14.759999999999998,0.25625,6.111111111111111,9.201388888888888,1.4583333333333333,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted,small_absolute_kcal_gap_le20,beverage_preparations_and_alcohol,True,True,True
3061435003247,Jus de pamplemouse rose,gusto debrio,,FRANCE,beverages,https://images.openfoodfacts.org/images/products/306/143/500/3247/front_fr.14.400.jpg,37.0,0.0,7.6,0.0,7.6,0.0,0.0,0.0,30.4,6.600000000000001,0.17837837837837842,0.0,20.54054054054054,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted;alcohol_formula_exception_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10;alcohol_formula_exception_energy_le100,ready_to_drink_beverages,True,True,True
3067140035115,"Duo café et chicorée lungo petit déjeuner LEROUX, 18 dosettes",unknown,,FRANCE,beverages,,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,1.0,0.0,0.0,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,beverage_preparations_and_alcohol,True,True,True
3068320040127,Natural mineral water,evian,Danone,FRANCE|DACH,beverages,https://images.openfoodfacts.org/images/products/306/832/004/0127/front_en.43.400.jpg,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.1,1.0,0.0,0.0,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,ready_to_drink_beverages,True,True,True
3068320102825,Citron de Méditerranée,la salvetat,,FRANCE,beverages,https://images.openfoodfacts.org/images/products/306/832/010/2825/front_fr.3.400.jpg,1.0,0.0,0.0,0.0,0.0,0.0,,0.01,0.0,1.0,1.0,0.0,0.0,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,ready_to_drink_beverages,True,True,True
3068320102993,La Salvetat Citron vert,salvetat,,FRANCE,beverages,https://images.openfoodfacts.org/images/products/306/832/010/2993/front_fr.12.400.jpg,1.0,0.0,0.0,0.0,0.0,0.0,,0.01,0.0,1.0,1.0,0.0,0.0,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,ready_to_drink_beverages,True,True,True
3068320105222,Badoit zest citron vert sans sucres,badoit,,FRANCE,beverages,https://images.openfoodfacts.org/images/products/306/832/010/5222/front_fr.74.400.jpg,1.0,0.0,0.0,0.0,0.0,0.0,,0.05,0.0,1.0,1.0,0.0,0.0,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,ready_to_drink_beverages,True,True,True
3068320105444,Badoit citron vert,badoit,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/306/832/010/5444/front_fr.29.400.jpg,1.0,0.0,0.0,0.0,0.0,0.0,,0.05,0.0,1.0,1.0,0.0,0.0,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,ready_to_drink_beverages,True,True,True
3068320106229,Eau Minerale Bouteille Plastique Citron Vert 6CT Eau Minerale A Boire Etagere,badoit,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/306/832/010/6229/front_fr.6.400.jpg,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.0,2.0,1.0,0.0,0.0,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,ready_to_drink_beverages,True,True,True
